drug,n_cells,spearman_model,spearman_resid,spearman_baseline
5-Fluorouracil,21,0.016883116883116882,0.14025974025974028,-1.0
5-azacytidine,19,0.11929824561403508,0.2964912280701754,-1.0
A-366,19,0.32280701754385965,0.46842105263157896,-1.0
ABT737,21,-0.5753246753246753,-0.3532467532467533,-1.0
AGI-5198,21,-0.2194805194805195,-0.044155844155844164,-1.0
AGI-6780,20,0.26917293233082706,0.437593984962406,-1.0
AGK2,20,0.27368421052631575,0.3699248120300751,-1.0
AMG-319,21,0.05324675324675325,0.287012987012987,-1.0
AT13148,21,-0.12337662337662336,0.0012987012987012987,-1.0
AZ6102,21,0.02857142857142857,0.17142857142857143,-1.0
AZ960,20,-0.1609022556390977,0.09624060150375939,-1.0
AZD1208,19,0.3456140350877193,0.443859649122807,-1.0
AZD1332,19,0.16666666666666666,0.29473684210526313,-1.0
AZD2014,19,0.005263157894736842,0.2210526315789474,-1.0
AZD3759,21,0.0,0.21818181818181817,-1.0
AZD4547,21,-0.2025974025974026,-0.07012987012987014,-1.0
AZD5153,19,-0.1649122807017544,0.06140350877192983,-1.0
AZD5363,21,0.023376623376623374,0.16623376623376623,-1.0
AZD5438,19,0.019298245614035085,0.2964912280701754,-1.0
AZD5582,20,-0.2120300751879699,0.1413533834586466,-1.0
AZD5991,19,0.16140350877192983,0.4052631578947368,-1.0
AZD6482,20,0.09172932330827067,0.28721804511278193,-1.0
AZD6738,21,0.2311688311688312,0.42727272727272725,-1.0
AZD7762,21,0.03636363636363636,0.3155844155844156,-1.0
AZD8055,20,-0.10977443609022557,0.016541353383458645,-1.0
AZD8186,21,-0.0038961038961038965,0.18311688311688312,-1.0
Acetalax,38,0.09157132949405279,0.38600163293904555,-0.9792436431541054
Afatinib,21,-0.24675324675324672,-0.016883116883116882,-1.0
Afuresertib,21,-0.08051948051948052,0.13506493506493505,-1.0
Alisertib,20,-0.13684210526315788,0.06165413533834586,-1.0
Alpelisib,21,0.548051948051948,0.6597402597402597,-1.0
Avagacestat,21,0.006493506493506493,0.13766233766233765,-1.0
Axitinib,21,0.1922077922077922,0.312987012987013,-1.0
BEN,19,0.02456140350877193,0.3245614035087719,-1.0
BI-2536,18,-0.17440660474716205,0.23013415892672856,-1.0
BIBR-1532,21,0.087012987012987,0.26103896103896107,-1.0
BMS-345541,20,0.10827067669172932,0.23157894736842105,-1.0
BMS-536924,21,-0.09090909090909091,0.01948051948051948,-1.0
BMS-754807,21,-0.1012987012987013,0.17012987012987013,-1.0
Bleomycin,19,0.15087719298245614,0.28596491228070176,-1.0
Bortezomib,21,-0.14025974025974028,-0.032467532467532464,-1.0
Bosutinib,21,0.04285714285714286,0.26233766233766237,-1.0
Bromosporine,19,0.1105263157894737,0.21929824561403505,-1.0
Buparlisib,21,0.16493506493506493,0.3337662337662338,-1.0
CCT007093,20,0.06917293233082707,0.2571428571428572,-1.0
CPI-637,19,0.2070175438596491,0.34912280701754383,-1.0
CZC24832,20,0.19248120300751878,0.4120300751879699,-1.0
Camptothecin,21,-0.0961038961038961,0.1077922077922078,-1.0
Cediranib,21,-0.12337662337662336,0.015584415584415586,-1.0
Cisplatin,21,0.1922077922077922,0.39090909090909093,-1.0
Crizotinib,21,0.11038961038961038,0.30129870129870134,-1.0
Cyclophosphamide,21,0.5454545454545454,0.6545454545454545,-1.0
Cytarabine,20,-0.06917293233082707,0.17593984962406017,-1.0
Dabrafenib,21,-0.24935064935064938,0.05584415584415584,-1.0
Dacarbazine,19,0.02982456140350877,0.20175438596491227,-1.0
Dactinomycin,40,-0.02121867248926532,0.09426348309390432,-0.621942879217339
Dactolisib,21,-0.34025974025974026,-0.14675324675324675,-1.0
Daporinad,11,0.018181818181818184,0.6000000000000001,-1.0
Dasatinib,21,-0.37922077922077924,-0.06753246753246753,-1.0
Dihydrorotenone,19,-0.19649122807017544,0.07543859649122807,-1.0
Dinaciclib,20,-0.06766917293233082,0.22105263157894736,-1.0
Docetaxel,39,-0.04842469847868316,0.23938820607767425,-0.7677036926181191
Doramapimod,21,-0.0935064935064935,-0.01818181818181818,-1.0
EHT-1864,21,0.22857142857142856,0.4194805194805195,-1.0
EPZ004777,21,0.10259740259740259,0.3051948051948052,-1.0
EPZ5676,21,0.16493506493506493,0.28441558441558445,-1.0
Elephantin,19,-0.021052631578947368,0.14210526315789473,-1.0
Entinostat,21,0.17012987012987013,0.4194805194805195,-1.0
Entospletinib,20,0.38496240601503756,0.47067669172932325,-1.0
Epirubicin,21,-0.2532467532467532,-0.07792207792207792,-1.0
Erlotinib,21,-0.03896103896103896,0.1883116883116883,-1.0
Fludarabine,19,-0.04736842105263158,0.2368421052631579,-1.0
Foretinib,21,-0.0025974025974025974,0.12207792207792208,-1.0
Fulvestrant,40,0.09116946493358034,0.21698520438877875,-0.5856065425239346
GDC0810,21,0.30129870129870134,0.38571428571428573,-1.0
GNE-317,21,-0.12987012987012986,0.0012987012987012987,-1.0
GSK-LSD1,19,0.519298245614035,0.5684210526315789,-1.0
GSK1904529A,21,-0.11168831168831168,0.09220779220779221,-1.0
GSK2110183B,19,0.4456140350877193,0.5807017543859649,-1.0
GSK2578215A,21,0.16363636363636364,0.3181818181818181,-1.0
GSK2606414,20,0.21804511278195485,0.42255639097744363,-1.0
GSK269962A,20,0.11278195488721804,0.23609022556390977,-1.0
GSK2801,19,0.26666666666666666,0.4403508771929824,-1.0
GSK2830371,20,0.06616541353383458,0.2706766917293233,-1.0
GSK343,41,0.21359145985527517,0.30983838707169314,-0.6533568306985416
GSK591,21,0.02857142857142857,0.23636363636363636,-1.0
GW441756,21,0.051948051948051945,0.16883116883116883,-1.0
Gallibiscoquinazole,19,0.22456140350877193,0.3596491228070175,-1.0
Gefitinib,21,0.01038961038961039,0.2506493506493506,-1.0
Gemcitabine,21,-0.2584415584415584,0.20779220779220778,-1.0
I-BET-762,20,0.12330827067669171,0.39097744360902253,-1.0
I-BRD9,21,-0.13376623376623376,0.062337662337662345,-1.0
ICL-SIRT078,21,-0.011688311688311687,0.17792207792207793,-1.0
IWP-2,20,0.18796992481203004,0.33383458646616543,-1.0
Ibrutinib,20,-0.19548872180451127,0.13233082706766916,-1.0
Ipatasertib,21,0.08181818181818182,0.23636363636363636,-1.0
Irinotecan,21,-0.07012987012987014,0.14025974025974028,-1.0
JNK Inhibitor VIII,21,0.33506493506493507,0.438961038961039,-1.0
JQ1,21,0.12207792207792208,0.36103896103896105,-1.0
KU-55933,21,0.015584415584415586,0.2324675324675325,-1.0
L-Oxonoreleagnine,19,0.18947368421052632,0.30526315789473685,-1.0
LCL161,20,0.10225563909774435,0.2992481203007519,-1.0
LGK974,21,0.07402597402597402,0.36103896103896105,-1.0
LJI308,21,0.087012987012987,0.24935064935064938,-1.0
LMP744,19,-0.2964912280701754,-0.06666666666666667,-1.0
LY2109761,20,0.25112781954887214,0.3789473684210526,-1.0
