drug,n_cells,spearman_model,spearman_resid,spearman_resid_p1,spearman_baseline
5-Fluorouracil,21,0.13116883116883118,0.14675324675324675,-0.11038961038961038,-1.0
5-azacytidine,19,0.2596491228070175,0.30350877192982456,0.1280701754385965,-1.0
A-366,19,0.39824561403508774,0.39824561403508774,0.20877192982456141,-1.0
ABT737,21,-0.14935064935064934,0.005194805194805195,0.051948051948051945,-1.0
AGI-5198,21,0.1922077922077922,0.2896103896103896,0.23376623376623373,-1.0
AGI-6780,20,0.24511278195488717,0.31127819548872177,0.09473684210526315,-1.0
AGK2,20,0.14736842105263157,0.19248120300751878,-0.05714285714285714,-1.0
AMG-319,21,0.23636363636363636,0.2935064935064935,0.2506493506493506,-1.0
AT13148,21,0.06753246753246753,0.174025974025974,0.08441558441558442,-1.0
AZ6102,21,0.1922077922077922,0.2935064935064935,0.08311688311688312,-1.0
AZ960,20,0.2556390977443609,0.3654135338345864,0.009022556390977442,-1.0
AZD1208,19,0.4508771929824561,0.45438596491228067,0.16666666666666666,-1.0
AZD1332,19,0.07543859649122807,0.14736842105263157,-0.4,-1.0
AZD2014,19,0.03333333333333333,0.1649122807017544,-0.18947368421052632,-1.0
AZD3759,21,0.16493506493506493,0.22207792207792207,0.3532467532467533,-1.0
AZD4547,21,-0.0961038961038961,-0.02727272727272727,-0.36233766233766235,-1.0
AZD5153,19,0.1,0.2508771929824561,0.07017543859649124,-1.0
AZD5363,21,-0.10519480519480517,0.06883116883116883,0.10519480519480517,-1.0
AZD5438,19,0.40877192982456134,0.5017543859649122,0.1719298245614035,-1.0
AZD5582,20,0.431578947368421,0.593984962406015,0.38496240601503756,-1.0
AZD5991,19,0.39824561403508774,0.5877192982456141,0.4385964912280701,-1.0
AZD6482,20,-0.04210526315789473,0.12030075187969923,0.29172932330827067,-1.0
AZD6738,21,0.15714285714285717,0.23376623376623373,-0.08571428571428572,-1.0
AZD7762,21,-0.044155844155844164,0.09090909090909091,-0.2,-1.0
AZD8055,20,-0.43458646616541347,-0.20902255639097742,-0.18796992481203004,-1.0
AZD8186,21,0.16363636363636364,0.42727272727272725,0.6116883116883116,-1.0
Acetalax,38,0.4894027514107989,0.5923657295500449,0.798028865279022,-0.9792436431541054
Afatinib,21,0.10389610389610389,0.2961038961038961,0.1012987012987013,-1.0
Afuresertib,21,-0.15064935064935067,0.0038961038961038965,0.15974025974025974,-1.0
Alisertib,20,0.05413533834586466,0.14736842105263157,-0.018045112781954885,-1.0
Alpelisib,21,0.18441558441558442,0.3207792207792208,0.2636363636363636,-1.0
Avagacestat,21,0.2155844155844156,0.2532467532467532,0.10259740259740259,-1.0
Axitinib,21,0.11818181818181818,0.22987012987012984,-0.06883116883116883,-1.0
BEN,19,0.28947368421052627,0.42105263157894735,0.09649122807017543,-1.0
BI-2536,18,0.13106295149638802,0.32507739938080493,-0.37048503611971106,-1.0
BIBR-1532,21,0.42987012987012985,0.47922077922077916,0.3194805194805195,-1.0
BMS-345541,20,0.28872180451127816,0.362406015037594,-0.08270676691729321,-1.0
BMS-536924,21,-0.007792207792207793,0.08441558441558442,-0.015584415584415586,-1.0
BMS-754807,21,0.22597402597402597,0.41818181818181815,0.16103896103896104,-1.0
Bleomycin,19,-0.03508771929824562,0.18070175438596495,-0.2157894736842105,-1.0
Bortezomib,21,-0.05064935064935065,-0.033766233766233764,0.18441558441558442,-1.0
Bosutinib,21,0.1012987012987013,0.2753246753246753,0.14415584415584418,-1.0
Bromosporine,19,0.21052631578947367,0.27017543859649124,-0.2,-1.0
Buparlisib,21,0.12207792207792208,0.14805194805194805,0.12207792207792208,-1.0
CCT007093,20,0.44360902255639095,0.5007518796992482,0.22406015037593985,-1.0
CPI-637,19,0.26666666666666666,0.3245614035087719,0.08596491228070174,-1.0
CZC24832,20,0.2706766917293233,0.3654135338345864,0.193984962406015,-1.0
Camptothecin,21,0.08831168831168833,0.1948051948051948,-0.438961038961039,-1.0
Cediranib,21,-0.05324675324675325,0.04805194805194805,-0.34545454545454546,-1.0
Cisplatin,21,0.02077922077922078,0.03896103896103896,0.029870129870129873,-1.0
Crizotinib,21,0.2675324675324675,0.38831168831168833,0.13896103896103898,-1.0
Cyclophosphamide,21,0.5896103896103897,0.6038961038961038,0.3649350649350649,-1.0
Cytarabine,20,-0.20601503759398496,-0.13082706766917293,-0.18345864661654135,-1.0
Dabrafenib,21,0.12337662337662336,0.22857142857142856,0.11948051948051949,-1.0
Dacarbazine,19,0.05263157894736842,0.0912280701754386,0.08596491228070174,-1.0
Dactinomycin,40,0.08769544824713084,0.14450031568772415,-0.09417401990564477,-0.621942879217339
Dactolisib,21,-0.09090909090909091,0.07402597402597402,-0.2714285714285714,-1.0
Daporinad,11,0.009090909090909092,0.7000000000000001,0.39090909090909093,-1.0
Dasatinib,21,-0.14545454545454545,0.03636363636363636,-0.07662337662337662,-1.0
Dihydrorotenone,19,0.15087719298245614,0.38421052631578945,0.37543859649122807,-1.0
Dinaciclib,20,0.11879699248120301,0.33533834586466166,0.24060150375939846,-1.0
Docetaxel,39,0.37139109753734817,0.428629496366754,0.01894439040902458,-0.7677036926181191
Doramapimod,21,0.2155844155844156,0.251948051948052,0.14025974025974028,-1.0
EHT-1864,21,0.4311688311688312,0.5597402597402598,0.38311688311688313,-1.0
EPZ004777,21,0.2571428571428571,0.35974025974025975,0.2636363636363636,-1.0
EPZ5676,21,0.4324675324675325,0.4883116883116883,0.3077922077922078,-1.0
Elephantin,19,-0.21929824561403505,-0.12105263157894736,-0.11578947368421051,-1.0
Entinostat,21,0.23766233766233766,0.37142857142857144,0.014285714285714285,-1.0
Entospletinib,20,0.010526315789473682,0.11729323308270674,-0.22105263157894736,-1.0
Epirubicin,21,0.07402597402597402,0.17662337662337665,-0.3038961038961039,-1.0
Erlotinib,21,0.22987012987012984,0.4311688311688312,0.3220779220779221,-1.0
Fludarabine,19,-0.2771929824561403,-0.10701754385964912,-0.3649122807017544,-1.0
Foretinib,21,0.044155844155844164,0.18051948051948052,-0.01948051948051948,-1.0
Fulvestrant,40,0.1722924491793202,0.24571626130914495,0.03295621234983182,-0.5856065425239346
GDC0810,21,0.4909090909090909,0.535064935064935,0.34935064935064936,-1.0
GNE-317,21,-0.2532467532467532,-0.15844155844155844,0.06363636363636363,-1.0
GSK-LSD1,19,0.256140350877193,0.3473684210526316,0.07719298245614034,-1.0
GSK1904529A,21,0.274025974025974,0.312987012987013,0.05064935064935065,-1.0
GSK2110183B,19,0.32280701754385965,0.46140350877192987,0.4403508771929824,-1.0
GSK2578215A,21,0.48571428571428565,0.525974025974026,0.4,-1.0
GSK2606414,20,0.3488721804511278,0.43458646616541347,0.20751879699248119,-1.0
GSK269962A,20,0.018045112781954885,0.15789473684210525,-0.16240601503759397,-1.0
GSK2801,19,0.2614035087719298,0.32105263157894737,0.1754385964912281,-1.0
GSK2830371,20,0.22255639097744356,0.2526315789473684,0.02706766917293233,-1.0
GSK343,41,0.4138443509930578,0.4450548581882367,0.12806769572546908,-0.6533568306985416
GSK591,21,0.031168831168831172,0.09220779220779221,-0.17922077922077922,-1.0
GW441756,21,0.37272727272727274,0.41298701298701296,0.20909090909090908,-1.0
Gallibiscoquinazole,19,0.1701754385964912,0.23508771929824557,-0.14736842105263157,-1.0
Gefitinib,21,0.2194805194805195,0.3766233766233766,0.348051948051948,-1.0
Gemcitabine,21,0.08441558441558442,0.22597402597402597,-0.16493506493506493,-1.0
I-BET-762,20,0.33383458646616543,0.38195488721804516,0.1413533834586466,-1.0
I-BRD9,21,0.2922077922077922,0.32727272727272727,0.11038961038961038,-1.0
ICL-SIRT078,21,0.36363636363636365,0.41818181818181815,0.12987012987012986,-1.0
IWP-2,20,0.2992481203007519,0.4090225563909774,0.20150375939849624,-1.0
Ibrutinib,20,0.2781954887218045,0.45563909774436084,0.5323308270676691,-1.0
Ipatasertib,21,0.011688311688311687,0.14675324675324675,0.20519480519480518,-1.0
Irinotecan,21,-0.087012987012987,-0.05324675324675325,-0.39090909090909093,-1.0
JNK Inhibitor VIII,21,0.6428571428571428,0.6428571428571428,0.4285714285714285,-1.0
JQ1,21,0.4285714285714285,0.5207792207792208,0.45454545454545453,-1.0
KU-55933,21,0.125974025974026,0.2935064935064935,0.20519480519480518,-1.0
L-Oxonoreleagnine,19,0.2508771929824561,0.3543859649122807,0.007017543859649123,-1.0
LCL161,20,0.18496240601503755,0.21954887218045113,0.012030075187969924,-1.0
LGK974,21,0.38571428571428573,0.44675324675324674,0.33896103896103896,-1.0
LJI308,21,0.3987012987012987,0.438961038961039,0.37142857142857144,-1.0
LMP744,19,-0.005263157894736842,0.08771929824561404,-0.39649122807017545,-1.0
LY2109761,20,0.5097744360902255,0.5187969924812029,0.2556390977443609,-1.0
Lapatinib,21,0.0,0.187012987012987,0.06103896103896104,-1.0
Leflunomide,20,0.38796992481203,0.41654135338345866,0.27669172932330827,-1.0
Lenalidomide,21,0.44415584415584414,0.45974025974025967,0.45714285714285713,-1.0
Lestaurtinib,21,0.18311688311688312,0.2909090909090909,-0.09220779220779221,-1.0
Linsitinib,21,0.40259740259740256,0.5168831168831168,0.33246753246753247,-1.0
Luminespib,21,0.27792207792207796,0.38051948051948054,-0.23636363636363636,-1.0
MG-132,21,0.08051948051948052,0.17142857142857143,-0.024675324675324677,-1.0
MIM1,20,0.05714285714285714,0.07969924812030074,-0.15488721804511277,-1.0
MIRA-1,21,0.5948051948051949,0.6012987012987013,0.45454545454545453,-1.0
MK-1775,21,0.1155844155844156,0.22987012987012984,-0.5103896103896104,-1.0
MK-2206,21,0.02727272727272727,0.24805194805194808,0.21428571428571425,-1.0
MK-8776,21,0.025974025974025972,0.18961038961038962,-0.15714285714285717,-1.0
ML323,20,0.41052631578947363,0.5097744360902255,0.30977443609022554,-1.0
MN-64,20,0.5834586466165413,0.6451127819548872,0.4601503759398496,-1.0
Methotrexate,20,0.06917293233082707,0.2601503759398496,0.3082706766917293,-1.0
Mirin,20,0.4842105263157894,0.5624060150375939,0.39097744360902253,-1.0
Mitoxantrone,19,0.2263157894736842,0.4122807017543859,-0.22982456140350876,-1.0
Motesanib,21,0.3974025974025974,0.43636363636363634,0.26493506493506497,-1.0
Mycophenolic acid,20,0.010526315789473682,0.12781954887218044,-0.012030075187969924,-1.0
N-acetyl cysteine,20,0.07969924812030074,0.14736842105263157,0.3398496240601503,-1.0
NU7441,21,-0.1974025974025974,-0.0987012987012987,-0.07922077922077922,-1.0
NVP-ADW742,21,0.31428571428571433,0.36623376623376624,0.24285714285714283,-1.0
Navitoclax,21,-0.2,0.015584415584415586,-0.18051948051948052,-1.0
Nelarabine,19,0.3456140350877193,0.3456140350877193,0.2789473684210526,-1.0
Nilotinib,21,-0.24545454545454545,-0.0961038961038961,-0.28441558441558445,-1.0
Niraparib,20,0.2706766917293233,0.30075187969924805,-0.12481203007518797,-1.0
OF-1,20,0.23909774436090225,0.3654135338345864,0.35488721804511275,-1.0
OSI-027,21,0.14675324675324675,0.251948051948052,0.2662337662337662,-1.0
OTX015,20,0.48872180451127817,0.58796992481203,0.3969924812030075,-1.0
Obatoclax Mesylate,20,-0.1744360902255639,0.003007518796992481,-0.23609022556390977,-1.0
Olaparib,21,0.2896103896103896,0.34545454545454546,0.015584415584415586,-1.0
Osimertinib,21,0.16623376623376623,0.3311688311688311,0.21168831168831168,-1.0
Oxaliplatin,40,0.28947009308983335,0.35772982636142237,0.27097330154306165,-0.9187365750515794
P22077,21,0.22207792207792207,0.2636363636363636,0.17792207792207793,-1.0
PCI-34051,20,0.1533834586466165,0.193984962406015,0.08872180451127819,-1.0
PD0325901,21,0.5272727272727272,0.5506493506493506,0.6636363636363637,-1.0
PD173074,21,0.01818181818181818,0.04285714285714286,-0.1922077922077922,-1.0
PF-4708671,20,0.13984962406015036,0.20150375939849624,0.1609022556390977,-1.0
PFI-1,21,0.11428571428571428,0.20779220779220778,0.04675324675324675,-1.0
PFI3,20,0.26616541353383455,0.29323308270676685,0.30526315789473685,-1.0
PLX-4720,21,0.45584415584415583,0.4805194805194805,0.14935064935064934,-1.0
POMHEX,19,0.0035087719298245615,0.19473684210526312,-0.19824561403508772,-1.0
