drug,n_cells,spearman_model,spearman_resid,spearman_baseline
5-Fluorouracil,21,-0.3116883116883117,-0.07142857142857142,-1.0
5-azacytidine,19,-0.37719298245614036,-0.14210526315789473,-1.0
A-366,19,-0.21228070175438596,-0.0017543859649122807,-1.0
ABT737,21,0.1883116883116883,0.41298701298701296,-1.0
AGI-5198,21,-0.37532467532467534,-0.3181818181818181,-1.0
AGI-6780,20,-0.010526315789473682,0.14436090225563908,-1.0
AGK2,20,-0.4330827067669173,-0.32481203007518794,-1.0
AMG-319,21,-0.43506493506493504,-0.3532467532467533,-1.0
AT13148,21,-0.387012987012987,-0.2636363636363636,-1.0
AZ6102,21,-0.0935064935064935,0.016883116883116882,-1.0
AZ960,20,-0.27669172932330827,-0.021052631578947364,-1.0
AZD1208,19,-0.11578947368421051,-0.04035087719298246,-1.0
AZD1332,19,-0.22982456140350876,0.07543859649122807,-1.0
AZD2014,19,-0.14736842105263157,-0.03508771929824562,-1.0
AZD3759,21,0.0,0.10519480519480517,-1.0
AZD4547,21,-0.10909090909090909,0.024675324675324677,-1.0
AZD5153,19,-0.4508771929824561,-0.1824561403508772,-1.0
AZD5363,21,-0.4454545454545455,-0.36233766233766235,-1.0
AZD5438,19,-0.3929824561403509,-0.16315789473684209,-1.0
AZD5582,20,0.13684210526315788,0.34736842105263155,-1.0
AZD5991,19,-0.28947368421052627,0.0543859649122807,-1.0
AZD6482,20,-0.26917293233082706,-0.1969924812030075,-1.0
AZD6738,21,-0.08311688311688312,0.12077922077922078,-1.0
AZD7762,21,-0.13116883116883118,0.08831168831168833,-1.0
AZD8055,20,-0.312781954887218,-0.11428571428571428,-1.0
AZD8186,21,-0.05844155844155843,0.062337662337662345,-1.0
Acetalax,38,-0.22608041157383368,-0.007448385652626305,-0.9792436431541054
Afatinib,21,-0.17012987012987013,-0.0987012987012987,-1.0
Afuresertib,21,-0.37142857142857144,-0.3090909090909091,-1.0
Alisertib,20,-0.5007518796992482,-0.32481203007518794,-1.0
Alpelisib,21,0.0025974025974025974,0.07402597402597402,-1.0
Avagacestat,21,-0.07272727272727272,-0.012987012987012986,-1.0
Axitinib,21,-0.551948051948052,-0.36233766233766235,-1.0
BEN,19,-0.4403508771929824,-0.13859649122807016,-1.0
BI-2536,18,-0.5521155830753354,-0.20330237358101136,-1.0
BIBR-1532,21,-0.28441558441558445,-0.1922077922077922,-1.0
BMS-345541,20,-0.45112781954887216,-0.2992481203007519,-1.0
BMS-536924,21,0.1155844155844156,0.1935064935064935,-1.0
BMS-754807,21,-0.24805194805194808,-0.011688311688311687,-1.0
Bleomycin,19,-0.5596491228070175,-0.32631578947368417,-1.0
Bortezomib,21,0.024675324675324677,0.12857142857142856,-1.0
Bosutinib,21,-0.05324675324675325,0.032467532467532464,-1.0
Bromosporine,19,-0.2508771929824561,-0.04912280701754386,-1.0
Buparlisib,21,-0.23636363636363636,-0.1987012987012987,-1.0
CCT007093,20,-0.3669172932330827,-0.2270676691729323,-1.0
CPI-637,19,-0.2789473684210526,-0.10701754385964912,-1.0
CZC24832,20,-0.21353383458646616,-0.06917293233082707,-1.0
Camptothecin,21,-0.5103896103896104,-0.39350649350649347,-1.0
Cediranib,21,-0.1948051948051948,-0.1,-1.0
Cisplatin,21,-0.5389610389610389,-0.34155844155844156,-1.0
Crizotinib,21,-0.15974025974025974,0.01948051948051948,-1.0
Cyclophosphamide,21,-0.11818181818181818,0.01818181818181818,-1.0
Cytarabine,20,-0.0781954887218045,0.23157894736842105,-1.0
Dabrafenib,21,-0.22207792207792207,-0.03506493506493507,-1.0
Dacarbazine,19,-0.09298245614035087,0.008771929824561405,-1.0
Dactinomycin,40,0.07680393647339724,0.16590776986368327,-0.621942879217339
Dactolisib,21,-0.22077922077922077,0.03896103896103896,-1.0
Daporinad,11,-0.05454545454545456,0.6181818181818182,-1.0
Dasatinib,21,0.06103896103896104,0.26493506493506497,-1.0
Dihydrorotenone,19,-0.42280701754385963,-0.09649122807017543,-1.0
Dinaciclib,20,-0.25112781954887214,-0.16240601503759397,-1.0
Docetaxel,39,0.09401280374104176,0.35082579671899533,-0.7677036926181191
Doramapimod,21,-0.2038961038961039,-0.07012987012987014,-1.0
EHT-1864,21,0.03506493506493507,0.23636363636363636,-1.0
EPZ004777,21,-0.3675324675324675,-0.28051948051948056,-1.0
EPZ5676,21,-0.1922077922077922,-0.05584415584415584,-1.0
Elephantin,19,-0.6385964912280702,-0.5842105263157895,-1.0
Entinostat,21,-0.27662337662337666,-0.022077922077922082,-1.0
Entospletinib,20,-0.3413533834586466,-0.1533834586466165,-1.0
Epirubicin,21,-0.3675324675324675,-0.14285714285714285,-1.0
Erlotinib,21,0.14285714285714285,0.24545454545454545,-1.0
Fludarabine,19,-0.5228070175438596,-0.1754385964912281,-1.0
Foretinib,21,0.2792207792207792,0.36883116883116884,-1.0
