drug,n_cells,spearman_model,spearman_resid,spearman_resid_p1,spearman_baseline,spearman_resid_p2
5-Fluorouracil,21,0.15064935064935067,0.187012987012987,-0.06493506493506493,-1.0,-0.01948051948051948
5-azacytidine,19,0.28771929824561404,0.3298245614035088,0.2,-1.0,0.24736842105263157
A-366,19,0.34210526315789475,0.40175438596491225,0.2175438596491228,-1.0,0.28947368421052627
ABT737,21,-0.15324675324675324,0.03766233766233767,0.031168831168831172,-1.0,-0.03896103896103896
AGI-5198,21,0.1909090909090909,0.26233766233766237,0.1987012987012987,-1.0,0.187012987012987
AGI-6780,20,0.2601503759398496,0.29473684210526313,0.08721804511278194,-1.0,0.2781954887218045
AGK2,20,0.11729323308270674,0.1894736842105263,-0.03458646616541353,-1.0,0.04210526315789473
AMG-319,21,0.2532467532467532,0.33246753246753247,0.1961038961038961,-1.0,0.2922077922077922
AT13148,21,0.09220779220779221,0.17012987012987013,0.14025974025974028,-1.0,0.15714285714285717
AZ6102,21,0.1948051948051948,0.2727272727272727,0.10519480519480517,-1.0,0.006493506493506493
AZ960,20,0.22857142857142856,0.3654135338345864,0.009022556390977442,-1.0,-0.1413533834586466
AZD1208,19,0.419298245614035,0.419298245614035,0.13859649122807016,-1.0,0.11403508771929824
AZD1332,19,0.06491228070175438,0.19122807017543858,-0.38070175438596493,-1.0,-0.39473684210526316
AZD2014,19,-0.008771929824561405,0.12982456140350876,-0.14912280701754385,-1.0,-0.23333333333333334
AZD3759,21,0.17922077922077922,0.24805194805194808,0.38311688311688313,-1.0,0.3246753246753247
AZD4547,21,-0.06753246753246753,0.05584415584415584,-0.32987012987012987,-1.0,-0.4051948051948052
AZD5153,19,0.16140350877192983,0.3315789473684211,0.02280701754385965,-1.0,-0.07192982456140351
AZD5363,21,-0.03506493506493507,0.07402597402597402,0.11428571428571428,-1.0,0.023376623376623374
AZD5438,19,0.3614035087719299,0.5017543859649122,0.19122807017543858,-1.0,0.008771929824561405
AZD5582,20,0.35639097744360904,0.5804511278195488,0.34586466165413526,-1.0,0.44360902255639095
AZD5991,19,0.4,0.5701754385964912,0.4456140350877193,-1.0,0.5508771929824561
AZD6482,20,-0.03909774436090225,0.09473684210526315,0.2601503759398496,-1.0,0.3293233082706767
AZD6738,21,0.17272727272727273,0.21818181818181817,-0.0935064935064935,-1.0,-0.15454545454545454
AZD7762,21,-0.0974025974025974,0.1012987012987013,-0.15584415584415584,-1.0,-0.12467532467532469
AZD8055,20,-0.4917293233082706,-0.2902255639097744,-0.18345864661654135,-1.0,-0.24812030075187969
AZD8186,21,0.21038961038961035,0.40389610389610386,0.5844155844155844,-1.0,0.6285714285714287
Acetalax,38,0.47765631093629074,0.6196059965527624,0.7990146269846917,-0.9792436431541054,0.8278207746059358
Afatinib,21,0.12207792207792208,0.28831168831168835,0.1883116883116883,-1.0,0.04805194805194805
Afuresertib,21,-0.22207792207792207,0.016883116883116882,0.15844155844155844,-1.0,0.022077922077922082
Alisertib,20,0.13233082706766916,0.2270676691729323,0.013533834586466165,-1.0,-0.04210526315789473
Alpelisib,21,0.14155844155844155,0.29740259740259745,0.274025974025974,-1.0,0.21168831168831168
Avagacestat,21,0.24025974025974026,0.2545454545454545,0.14025974025974028,-1.0,0.2506493506493506
Axitinib,21,0.08311688311688312,0.22467532467532467,-0.033766233766233764,-1.0,0.014285714285714285
BEN,19,0.28771929824561404,0.3929824561403509,0.04736842105263158,-1.0,0.21929824561403505
BI-2536,18,0.16408668730650156,0.29411764705882354,-0.3746130030959752,-1.0,-0.3766769865841073
BIBR-1532,21,0.4285714285714285,0.5064935064935064,0.29740259740259745,-1.0,0.28051948051948056
BMS-345541,20,0.31127819548872177,0.3488721804511278,-0.0631578947368421,-1.0,-0.07518796992481201
BMS-536924,21,-0.015584415584415586,0.015584415584415586,-0.04675324675324675,-1.0,-0.08311688311688312
BMS-754807,21,0.23636363636363636,0.42727272727272725,0.20649350649350648,-1.0,0.007792207792207793
Bleomycin,19,-0.05263157894736842,0.10701754385964912,-0.19473684210526312,-1.0,-0.30877192982456136
Bortezomib,21,-0.06103896103896104,-0.024675324675324677,0.15714285714285717,-1.0,0.18571428571428572
Bosutinib,21,0.06103896103896104,0.2545454545454545,0.14025974025974028,-1.0,0.06623376623376624
Bromosporine,19,0.10526315789473684,0.2543859649122807,-0.20350877192982456,-1.0,-0.2263157894736842
Buparlisib,21,0.11688311688311687,0.16623376623376623,0.15064935064935067,-1.0,-0.06103896103896104
CCT007093,20,0.4541353383458646,0.4631578947368421,0.23157894736842105,-1.0,0.27518796992481204
CPI-637,19,0.2789473684210526,0.30701754385964913,0.12280701754385966,-1.0,0.24736842105263157
CZC24832,20,0.23609022556390977,0.3142857142857143,0.18045112781954886,-1.0,0.25864661654135335
Camptothecin,21,0.12337662337662336,0.23766233766233766,-0.40389610389610386,-1.0,-0.2350649350649351
Cediranib,21,-0.07532467532467534,-0.006493506493506493,-0.33506493506493507,-1.0,-0.438961038961039
Cisplatin,21,0.029870129870129873,0.07012987012987014,0.06493506493506493,-1.0,0.06103896103896104
Crizotinib,21,0.22207792207792207,0.3168831168831169,0.062337662337662345,-1.0,-0.044155844155844164
Cyclophosphamide,21,0.5766233766233767,0.6,0.374025974025974,-1.0,0.5012987012987012
Cytarabine,20,-0.22556390977443608,-0.11879699248120301,-0.17593984962406017,-1.0,-0.15939849624060148
Dabrafenib,21,0.1077922077922078,0.1987012987012987,0.18571428571428572,-1.0,0.20519480519480518
Dacarbazine,19,0.02280701754385965,0.0543859649122807,0.12456140350877193,-1.0,0.13508771929824562
Dactinomycin,40,0.10947847179459802,0.14863157877431277,-0.06713302515706482,-0.621942879217339,-0.0581193602408715
Dactolisib,21,-0.11428571428571428,0.025974025974025972,-0.22727272727272727,-1.0,-0.20779220779220778
Daporinad,11,0.009090909090909092,0.5181818181818182,0.4000000000000001,-1.0,0.4090909090909091
Dasatinib,21,-0.18311688311688312,-0.0012987012987012987,-0.12077922077922078,-1.0,-0.16233766233766234
Dihydrorotenone,19,0.2421052631578947,0.4350877192982456,0.4333333333333333,-1.0,0.487719298245614
Dinaciclib,20,0.13533834586466165,0.3203007518796992,0.26917293233082706,-1.0,0.38646616541353385
Docetaxel,39,0.354371538239401,0.43734188981689365,0.027251556256832152,-0.7677036926181191,-0.0078006313448924745
Doramapimod,21,0.1753246753246753,0.2558441558441559,0.13246753246753248,-1.0,-0.02077922077922078
EHT-1864,21,0.43506493506493504,0.5181818181818182,0.38051948051948054,-1.0,0.45584415584415583
EPZ004777,21,0.2675324675324675,0.34415584415584416,0.287012987012987,-1.0,0.2155844155844156
EPZ5676,21,0.43766233766233764,0.45194805194805193,0.29480519480519485,-1.0,0.16623376623376623
Elephantin,19,-0.22807017543859648,-0.14736842105263157,-0.13859649122807016,-1.0,-0.06315789473684211
Entinostat,21,0.3168831168831169,0.36623376623376624,0.03896103896103896,-1.0,-0.16493506493506493
Entospletinib,20,-0.03157894736842105,0.09473684210526315,-0.23759398496240602,-1.0,-0.12781954887218044
Epirubicin,21,0.08181818181818182,0.17662337662337665,-0.24415584415584415,-1.0,-0.20519480519480518
Erlotinib,21,0.24415584415584415,0.4311688311688312,0.3168831168831169,-1.0,0.3337662337662338
Fludarabine,19,-0.24035087719298245,-0.10526315789473684,-0.37894736842105264,-1.0,-0.20877192982456141
Foretinib,21,0.06753246753246753,0.21688311688311687,0.014285714285714285,-1.0,-0.21688311688311687
Fulvestrant,40,0.17454586540836853,0.2378293045074758,0.04384772412356542,-0.5856065425239346,0.1351110814000228
GDC0810,21,0.45324675324675323,0.45324675324675323,0.26493506493506497,-1.0,0.36363636363636365
GNE-317,21,-0.3116883116883117,-0.1922077922077922,0.11818181818181818,-1.0,-0.01948051948051948
GSK-LSD1,19,0.2157894736842105,0.3140350877192983,0.0894736842105263,-1.0,-0.11929824561403508
GSK1904529A,21,0.28051948051948056,0.3220779220779221,0.08051948051948052,-1.0,0.24285714285714283
GSK2110183B,19,0.19122807017543858,0.4508771929824561,0.37543859649122807,-1.0,0.4140350877192982
GSK2578215A,21,0.47922077922077916,0.5025974025974026,0.3675324675324675,-1.0,0.45974025974025967
GSK2606414,20,0.35037593984962395,0.4090225563909774,0.18045112781954886,-1.0,0.3218045112781954
GSK269962A,20,0.03157894736842105,0.13984962406015036,-0.17744360902255638,-1.0,-0.10075187969924812
GSK2801,19,0.21052631578947367,0.2596491228070175,0.09649122807017543,-1.0,0.26491228070175443
GSK2830371,20,0.21353383458646616,0.24661654135338343,0.07218045112781954,-1.0,0.03909774436090225
GSK343,41,0.3766348423562449,0.4268528213370776,0.16530084747857415,-0.6533568306985416,0.17279867072918456
GSK591,21,0.0012987012987012987,0.08311688311688312,-0.18051948051948052,-1.0,-0.08831168831168833
GW441756,21,0.34415584415584416,0.37532467532467534,0.17272727272727273,-1.0,0.15714285714285717
Gallibiscoquinazole,19,0.1842105263157895,0.26666666666666666,-0.1087719298245614,-1.0,-0.22982456140350876
Gefitinib,21,0.24155844155844156,0.41298701298701296,0.3363636363636363,-1.0,0.4051948051948052
Gemcitabine,21,0.1012987012987013,0.30129870129870134,-0.12207792207792208,-1.0,0.07012987012987014
I-BET-762,20,0.2857142857142857,0.38496240601503756,0.12180451127819547,-1.0,-0.04360902255639097
I-BRD9,21,0.26103896103896107,0.33766233766233766,0.08441558441558442,-1.0,0.2597402597402597
ICL-SIRT078,21,0.34155844155844156,0.4168831168831169,0.05454545454545454,-1.0,0.1974025974025974
IWP-2,20,0.3278195488721804,0.4240601503759398,0.26616541353383455,-1.0,0.27368421052631575
Ibrutinib,20,0.2827067669172932,0.431578947368421,0.45563909774436084,-1.0,0.42105263157894735
Ipatasertib,21,-0.0012987012987012987,0.13376623376623376,0.2324675324675325,-1.0,0.1935064935064935
Irinotecan,21,-0.1,0.023376623376623374,-0.36103896103896105,-1.0,-0.47402597402597396
